sno,student_warning_lvl
2012211580,3
2012211580,3
2012212561,2
2012212561,2
2012212865,4
2012212865,4
2012212866,3
2012212866,3
2012213624,4
2012213624,4
2012213685,3
2012213685,3
2012213811,4
2012213811,4
2012213935,4
2012213935,4
2012213940,4
2012213940,4
2012213976,4
2012213976,4
2012214012,3
2012214012,3
2012214013,2
2012214013,2
2012214017,4
2012214017,4
2012214045,3
2012214045,3
2012214047,2
2012214047,2
2012214057,4
2012214057,4
2012214074,4
2012214074,4
2012214076,2
2012214076,2
2012214089,2
2012214089,2
2012214115,4
2012214115,4
2012214163,4
2012214163,4
2012214182,4
2012214182,4
2012214206,2
2012214206,2
2012214231,4
2012214231,4
2012214247,2
2012214247,2
2012214276,2
2012214276,2
2012214283,2
2012214283,2
2012214285,2
2012214285,2
2012214288,2
2012214288,2
2012214291,2
2012214291,2
2012214294,4
2012214294,4
2012214314,2
2012214314,2
2012214316,2
2012214316,2
2012214321,2
2012214321,2
2012214322,2
2012214322,2
2012214341,2
2012214341,2
2012214343,2
2012214343,2
2012214371,2
2012214371,2
2012214382,2
2012214382,2
2012214387,2
2012214387,2
2012214428,2
2012214428,2
2012214454,2
2012214454,2
2012214528,2
2012214528,2
2012214539,2
2012214539,2
2012214561,2
2012214561,2
2012214620,2
2012214620,2
2012214624,2
2012214624,2
2012214626,4
2012214626,4
2012214628,2
2012214628,2
2012214630,2
2012214630,2
2012214872,1
2012214872,1
2012214903,4
2012214903,4
2012215172,4
2012215172,4
2012215492,2
2012215492,2
2012215586,2
2012215586,2
2012215677,4
2012215677,4
2012215679,4
2012215679,4
2012215680,4
2012215680,4
